OBJECTID,Address,Property_Type,Property_Uses,Site_EUI,GHG_Intensity,ShapeSTArea,ShapeSTLength,Reported,Property_Name,Gross_Sq_Ft,EnergyStar_Score,EnergyStar_Certified,Year_Built,GHG_Emissions,Site_Energy_Use,Water_Intensity,OnSite_Solar,Owner_Submitted_Link,ZIP,Tax_Parcel,Pct_Electricity,Pct_Gas,Pct_Steam,Owner_Submitted_Info,Years_Reported
11,408 ATLANTIC AV,Office,Office,,0,17652.5673828125,545.45376997116,Yes,MA0011ZZ - CPT JF WILLIAMS CG B,176013,,"2014, 2012",1918,,,5.44675677,,,02210,0302959000,,,,,"2014, 2015, 2016"
12,75 State Street,Mixed Use Property,"Financial Office, Office, Other, Other - Restaurant/Bar, Parking, Retail Store",64.3,6.2,53039.9162597656,1024.05880452798,Yes,75 State Street,813261.3,89,"2016, 2015, 2013, 2012, 2010, 2009, 2008",1987,5062.5,52328094.2,12.29912207,,,02109,0303860000,1.00000018,,,,"2014, 2015, 2016"
13,5 POST OFFICE SQ,Office,"Courthouse, Office, Parking",41.5,3.5,43399.5361328125,923.394554276007,Yes,MA0013ZZ - J W MCCORMACK BLDG,776861,96,"2015, 2012, 2011",1933,2705.3,32259059.1,4.62849853,,,02109,0303881000,0.57546243,0,42%,,"2014, 2015, 2016"
14,15 NEW SUDBURY STREET,Office,"Data Center, Office, Parking",76,6.2,85485.5905761719,2382.39266173602,Yes,MA0131ZZ - JFK FEDERAL BUILDING,971779,,"2012, 2011, 2010, 2009, 2005, 2000",1966,6044.4,73870328,11.1852592,,,02203,0302605000,0.50831184,,49%,,"2014, 2015, 2016"
15,10 CAUSEWAY STREET,Office,"Office, Parking",,0,97161.478515625,1308.49913943256,Yes,MA0153ZZ - TP O'NEILL FED BLDG,773445,,"2014, 2012, 2011, 2005, 2000",1986,,,5.94146966,,,02222,0301920000,,,,,"2014, 2015, 2016"
16,100 Summer Street,Office,"Fast Food Restaurant, Office, Other, Parking",78.3,6.6,41903.0251464844,1137.78061297262,Yes,100 Summer Street,1164826,75,"2015, 2014, 2013, 2012, 2011",1974,7732.9,91216782.6,9.74677763,,,02110,0304220000,0.60555635,,39%,"This building is a large office building in downtown Boston.  It represents a single building only.  

The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the th","2014, 2015, 2016"
17,125 Summer Street,Office,"Office, Parking",65.6,6.3,31249.7524414062,826.314035644171,Yes,125 Summer Street,521903,74,"2015, 2014, 2013, 2012, 2011",1989,3311,34224063.4,9.0953683,,,02110,0304256000,1.00000008,,,"This property represents a single building only.  All energy data have been entered correctly up to 1/31/2011.

The building is currently seeking LEED EB Certification:
Project Name = 125 Summer Street
Project ID = 1000063066","2014, 2015, 2016"
18,1 Center Plaza,Office,"Bank Branch, Office, Parking, Retail Store",75.7,6.3,75424.5480957031,1874.46425058922,Yes,Center Plaza,741232,87,2015,1963,4653.7,56141422.2,9.66053813,,,02108,0302713000 0302715000 0302717000,0.68248603,0.3175142,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:

Center Plaza 1 - 0302713000
Center Plaza 2 - 0302715000
Center Plaza 3 - 030271","2014, 2015, 2016"
19,28 State Street,Office,"Financial Office, Office, Parking",76.1,7.4,17145.8291015625,545.931080580733,Yes,28 State Street,572153,70,2013,1968,4213.2,43549323.4,10.47726744,,,02109,0303694000,1.00000027,,,,"2015, 2016"
20,60 State Street,Office,"Financial Office, Office, Parking, Restaurant",79.7,6.9,23820.1137695312,614.164431790807,Yes,60 State Street,958470,75,"2014, 2013",1978,6604.5,76345497.8,15.98599852,,,02109,0303685000,0.66677406,0.00938383,32%,,"2014, 2015, 2016"
21,One Post Office Square,Office,"Office, Restaurant",71.8,6.9,37964.2165527344,808.986660067069,Yes,One Post Office Square,831283,77,"2015, 2013, 2012, 2010, 2009",1981,5770.9,59650908.8,11.45783085,,,02109,0304160000,0.99999992,,,,"2014, 2015, 2016"
22,225 Franklin Street,Office,"Office, Parking",100.8,8.1,49082.1435546875,1054.57528496323,Yes,225 Franklin Street,1085514,79,"2015, 2014, 2012, 2011",1966,8803.6,109416037.7,14.69165759,,,02110,0304134000,0.4633584,,54%,"The building is currently seeking LEED EBOM Certification:
Project Name = 225 Franklin Street
Project ID = 1000063072



Meters ""Board A"" and ""Board B"" are sub-meters. The electric grid meters ""Board C"", ""Board D"", ""Site 225 Franklin Electric Power"", and ","2014, 2015, 2016"
23,100 High Street,Not Available,"Office, Parking",,,31133.5424804688,937.884717071057,Yes,100 High Street,,,"2014, 2012, 2011, 2010",1988,3383,34968493.4,,,,02110,0304408000,1.00000008,,,,"2014, 2016"
24,175 Federal Street`,Office,Office,61,5.9,15116.5712890625,479.55176754265,Yes,175 Federal Street,227365,81,"2015, 2014, 2012",1977,1341.2,13863090.1,9.99978009,,,02110,0304231000,0.99999993,,,,"2014, 2015, 2016"
25,39 Dalton Street,Hotel,"Hotel, Parking, Restaurant",108,7.3,105124.662353516,1475.97920458718,Yes,Sheraton Boston,1050000,56,"2008, 2007, 2002",1965,7677.7,113444898.9,36.01657143,,,02199,0401037300,0.33379101,0.66620889,,,"2014, 2015, 2016"
26,44 Harvard Way,Residence Hall/Dormitory,Residence Hall/Dormitory,68.9,5.5,11437.9174804688,797.53778862675,Yes,McCulloch Hall,51821,72,,1926,285.6,3570973.8,22.44070936,,,02163,2200530000,0.44779862,,55%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
27,35 Harvard Way,College/University,College/University,62.9,5.1,28607.11328125,1072.5350054367,Yes,Aldrich Hall,105818,,,1953,537.1,6657342.5,21.85072483,,,02163,2200530000,0.4704211,,53%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
28,45 Harvard Way,Residence Hall/Dormitory,Residence Hall/Dormitory,64.7,5,13392.2885742188,813.892267670177,Yes,Esteves Hall,78375,81,,1969,394.4,5071572.4,21.19425837,,,02163,2200530000,0.37435574,,63%,"Formerly called Baker Hall, a complete gut renovation took place from Feb 2014 to March 2015. This can account for the decreased or incomplete usages. The water had been shut off to the building in Feb 2014. The steam had also been shut off from June 2014","2014, 2015, 2016"
29,39 Harvard Way,Performing Arts,Performing Arts,49,3.7,13950.4509277344,489.321583693253,Yes,Burden Hall,28969,,,1969,106.8,1418893.6,23.87034416,,,02163,2200490000,0.29298557,,71%,"Water is allocated by gross square footage for this property, and does not represent actual usage

Burden Hall will be demolished in 2018.","2014, 2015, 2016"
30,670 Soldiers Field Road,Residence Hall/Dormitory,Residence Hall/Dormitory,71.1,5.3,10892.6921386719,759.50171451161,Yes,Mellon Hall,47698,81,,1926,251.6,3390572.4,22.50828127,,,02163,2200530000,0.25733991,,74%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.","2014, 2015, 2016"
31,25 Harvard Way,Library,Library,82.1,6.2,33471.4365234375,810.571134880123,Yes,Baker Library,157820,,,1927,986.3,12964392.4,25.52908377,,,02163,2200530000,0.31905709,,68%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
32,66 North Harvard Street,Worship Facility,Worship Facility,112.7,8.6,3628.06713867188,243.956412541908,Yes,Class of 1959 Chapel,6932,1,,1992,59.3,781077.9,21.82631275,,,02163,2200530000,0.31390021,,69%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
33,34 Harvard Way,Residence Hall/Dormitory,"Office, Residence Hall/Dormitory",105.4,7.7,11431.8642578125,801.60339483411,Yes,Chase Hall,50796,65,,1926,388.9,5353517.8,21.85014568,,,02163,2200530000,0.20601917,,79%,"Water is allocated by gross square footage for this property, and does not represent actual usage.  Steam usage is allocated as 81% of the meter shared with Greenhill House and Dillon House. Allocation is by GSF.","2014, 2015, 2016"
34,50 Harvard Way,Office,Office,41.8,3.2,4440.70751953125,352.828949012961,Yes,Cotting House,16747,98,,1968,54,699701.8,21.82480444,,,02163,2200530000,0.35375624,,65%,"Water is allocated by gross square footage for this property, and does not represent actual usage","2014, 2015, 2016"
35,33 Harvard Way,Office,Office,65.7,5.1,8757.70458984375,476.344417149089,Yes,Cumnock Hall,26137,85,,1974,133.8,1717039.9,21.9114665,,,02163,2200530000,0.37997172,,62%,"Water is allocated by gross square footage for this property, and does not represent actual usage","2014, 2015, 2016"
36,41 Harvard Way,Single Family Home,Single Family Home,56.4,3.7,3646.0693359375,343.416099333263,Yes,Dean's House,10978,,,1929,40.2,619206.3,21.84368737,,,02163,2200530000,0.27070021,0.72929981,,"There has been issues with receiving the natural gas readings at the Dean's House. Water is allocated by gross square footage for this property, and does not represent actual usage
","2014, 2015, 2016"
37,30 Harvard Way,Office,Office,104.9,7.4,1629.35668945312,165.912330766218,Yes,Dillon House,5674,57,,1965,41.7,595445.4,20.44413112,,,02163,2200530000,0.12038903,,88%,"Steam usage is allocated as 10% of the meter shared with Chase Hall and Greenhill House.  Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
38,20 Harvard Way,Office,Office,40.1,3,1586.59912109375,170.851098737834,Yes,Connell House,6067,98,,1940,18.3,243273.6,21.70759848,,,02163,2200530000,0.2858102,,71%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 3% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.","2014, 2015, 2016"
39,24 Harvard Way,Residence Hall/Dormitory,Residence Hall/Dormitory,59.2,4.7,11453.4333496094,799.212683417917,Yes,Gallatin Hall,50956,81,,1926,241.2,3017117.6,21.84237381,,,02163,2200530000,0.44605462,,55%,"Steam usage is allocated as 29% of the meter shared with Connell, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
40,660 Soldiers Field Road,Office,Office,78.2,5.8,1919.68090820312,197.377514707384,Yes,Glass Hall,7563,73,,1926,43.5,591164.6,21.71096126,,,02163,2200530000,0.23829041,,76%,"Water is allocated by gross square footage for this property, and does not represent actual usage","2014, 2015, 2016"
41,700 Soldiers Field Road,Residence Hall/Dormitory,Residence Hall/Dormitory,52.2,4.1,10852.6669921875,764.813075970477,Yes,Hamilton Hall,49297,88,,1926,201.6,2571797.7,21.84108566,,,02163,2200530000,0.39524668,,60%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 27% of the meter shared with Gallatin, Connell, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.","2014, 2015, 2016"
42,37 Harvard Way,College/University,College/University,74.7,6.6,14335.9677734375,547.440542370689,Yes,Hawes Hall,61104,,,2002,401.1,4562452.1,21.87909139,,,02163,2200530000,0.70922341,,29%,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commo","2014, 2015, 2016"
43,40 Harvard Way,Office,Office,91.5,6.4,1635.67651367188,166.122650316979,Yes,Greenhill House,5940,72,,1965,38.2,543245.1,29.61279461,,,02163,2200530000,0.13099435,,87%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 9% of the meter shared with Chase Hall and Dillon House. Allocation is by GSF.","2014, 2015, 2016"
44,10 Harvard Way,Office,Office,53.7,4,1592.4638671875,170.560107286888,Yes,Loeb House,6067,84,,1940,24.5,325520.3,21.70759848,,,02163,2200530000,0.29199029,,71%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Connell, Ludcke, Wyss. Allocation is by GSF.","2014, 2015, 2016"
45,690 Soldiers Field Road,Office,Office,36.7,2.8,1938.96948242188,191.374435443963,Yes,Ludcke House,9611,94,,1926,27.1,352431.3,21.88117782,,,02163,2200530000,0.34605296,,65%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Connell, Wyss. Allocation is by GSF.","2014, 2015, 2016"
46,47A Harvard Way,Residence Hall/Dormitory,Residence Hall/Dormitory,83.2,6.2,20372.2312011719,1021.44563761726,Yes,McArthur Hall,107673,71,,1999,671.8,8960833.1,22.82373483,,,02163,2200530000,0.28250732,,72%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
47,47 Harvard Way,Social/Meeting Hall,Social/Meeting Hall,69.6,5.5,9012.02416992188,478.974456074955,Yes,McCollum Center,18925,,,1969,104.7,1316743.8,23.14927345,,,02163,2200530000,0.43204376,,57%,"Steam usage is allocated as 19% of the meter shared with Esteves. Allocation is by GSF. When Esteves was under construction, McCollum was being heated from McArthur.

Water is allocated by gross square footage for this property, and does not represent act","2014, 2015, 2016"
48,15 Harvard Way,Office,Office,58.5,4.7,24248.1398925781,700.52038256572,Yes,Morgan Hall,117707,93,,1927,551.6,6881386.1,23.78957921,54324.0,,02163,2200530000,0.45359834,,55%,"Water is allocated by gross square footage for this property, and does not represent actual usage.

A 48 kW solar PV system had been installed at Morgan Hall in March 2014.","2014, 2015, 2016"
49,14 Harvard Way,Residence Hall/Dormitory,Residence Hall/Dormitory,49.1,3.8,11450.5900878906,801.532282903399,Yes,Morris Hall,50786,92,,1926,190.6,2494184,21.85641712,,,02163,2200530000,0.32991387,,67%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 29% of the meter shared with Gallatin, Hamilton, Connell, Loeb, Ludcke, Wyss. Allocation is by GSF.","2014, 2015, 2016"
50,70 North Harvard Street,Mixed Use Property,"Data Center, Office, Other - Recreation",129.8,10,45960.056640625,962.277123707705,Yes,Shad Hall,132424,,,1990,1327.4,17194648.8,15.33634387,24449.0,,02163,2200530000,0.49950934,0.32807541,17%,"Shad Hall has its own water meter.
Shad data center electric meter is a submeter of the building electric meter. 

A 25 kW solar PV system was installed approx. 10 years ago.","2014, 2015, 2016"
51,710 Soldiers Field Road,Office,Office,70.5,5.7,1914.15258789062,190.322089669926,Yes,Wyss Hall,6290,81,,1926,35.9,443634.1,21.49443561,,,02163,2200530000,0.48049204,,52%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Connell. Allocation is by GSF.","2014, 2015, 2016"
52,117 Western Ave,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,122.7,8.9,38049.2026367188,1437.08850224654,Yes,Spangler Center,139437,,,2000,1245.4,17115564.9,21.89949583,,,02163,2200490000,0.28266057,0.16641503,55%,"Water is allocated by gross square footage for this property, and does not represent actual usage","2014, 2015, 2016"
53,60 North Harvard Street,Office,Office,87,6.9,8296.39794921875,428.173547169345,Yes,Rock Center,27782,58,,1969,191.6,2416462.8,21.81268447,,,02163,2200530000,0.42465447,,58%,"Water is allocated by gross square footage for this property, and does not represent actual usage.","2014, 2015, 2016"
54,680 Soldiers Field Road,Office,Office,69.8,5.1,1934.697265625,191.279953553815,Yes,Wilder House,6377,91,,1926,32.7,445228.8,21.59322565,,,02163,2200530000,0.22966593,,77%,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.","2014, 2015, 2016"
55,230 Western Ave,Office,Office,67.8,6.2,12306.0270996094,525.745741480182,Yes,Teele Hall,52688,68,,1984,328.1,3570738,14.74149712,,,02134,2201058010,0.88836529,0.11163468,,,"2014, 2015, 2016"
56,One Avenue De Lafayette,Hotel,"Hotel, Other, Restaurant",86.2,7,26398.6545410156,954.250660821879,Yes,Hyatt Regency Boston,462684,54,"2013, 2012, 2011, 2010, 2007",1983,3252.1,39892531.4,34334.44770081,,,02111,0304500100,0.65107503,0.34892496,,Hyatt Regency Boston  Assessing Parcel ID is 03045001100,"2014, 2015, 2016"
57,203 Park Drive,Multifamily Housing,Multifamily Housing,60.3,4,11931.5822753906,764.112093899164,Yes,Shattuck Int’l House,60077,88,"2015, 2014, 2013, 2012, 2006",1920,241.9,3625634.6,36.69790436,,,02215,2100005010,0.31201,0.68798996,,,"2014, 2015, 2016"
58,333 Longwood Avenue,Mixed Use Property,"Financial Office, Office, Parking, Retail Store",105.8,8.7,38829.0756835938,1012.68649348435,Yes,333 Longwood,99645,73,2011,1989,864.8,10543800.5,11.29309047,,,02115,01855-000,0.66573056,,,,"2014, 2016"
59,73 Tremont St,Office,"Office, Other - Education, Parking",75.9,7.3,27445.9465332031,744.785074741351,Yes,73 Tremont St,303975,70,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007",1898,2232.6,23077610.5,15.23118678,,,02108,0304675000,1.00000004,,,,"2014, 2015, 2016"
60,501 Boylston Street,Office,"Bank Branch, Office, Other, Parking, Personal Services, Retail Store",88.2,6.6,62796.99609375,1076.33769842816,Yes,501 Boylston,682117,83,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007, 2005",1940,4506.5,60156815.2,14.81637314,,,02116,0501296002 0501296004 0501296006,0.49961443,0.50038555,,,"2014, 2015, 2016"
61,1 Beacon Street,Office,"Data Center, Office, Parking",103,8.1,30793.5124511719,715.565535751004,Yes,One Beacon,1136283,81,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007",1973,9244.7,117092371.1,9.02328029,,,02108,0302720000,0.41691762,0.00738452,58%,,"2014, 2015, 2016"
62,695 Atlantic Ave,Office,"Data Center, Office, Other, Restaurant",88.5,8.1,18242.947265625,677.524997012383,Yes,695 Atlantic Ave,187000,87,"2013, 2007",1898,1509.4,16557668.5,25.55294118,,,02111,0304302010,0.87198828,0.12801173,,,"2014, 2015, 2016"
63,50 Milk Street,Office,"Data Center, Office, Parking, Restaurant",61.4,5.9,15609.2346191406,518.476062081875,Yes,"50 Milk Street, LLC",290759,,"2012, 2011, 2010, 2009, 2007",1981,1727.4,17854696.5,11.9425366,,,02109,Not Available,0.99999996,,,,"2014, 2015, 2016"
64,One Western Ave,Multifamily Housing,Multifamily Housing,69.9,5.4,36742.1806640625,1620.31469559847,Yes,One Western Ave,241946,55,,2003,1311,16908108,30.70478537,,,02134,2200481000,0.36707219,,63%,"DOES NOT INCLUDE GARAGE! 

Boston Data
1 WESTERN AV	
Parcel 2200481000	

Harvard Data
Root 06220
One Western Avenue	
1 Western Ave	
HUH
","2015, 2016"
65,10 St. James Avenue,Office,"Financial Office, Office, Other, Parking",69,6.7,40193.8828125,835.324950949286,Yes,10 St. James Ave.,567714,78,"2011, 2009, 2008, 2007",2001,3791.1,39186307.4,11.30763025,,,02116,0501152000,1.00000002,,,,"2014, 2015, 2016"
66,1100 Mass Ave,Supermarket/Grocery Store,Supermarket/Grocery,188.5,14.9,84814.6401367188,1411.18957039705,Yes,0429 Dorchester,79401,91,,2005,1181.3,14965253,23.74025516,,,02122,Not Available,0.59188729,0.40811269,,,"2014, 2015, 2016"
67,713 E. Broadway,Supermarket/Grocery Store,Supermarket/Grocery,186.5,14.8,18998.9008789062,595.554270030171,Yes,0053 South Boston,30982,87,,2005,457.1,5776977.4,108.5307598,,,02127,Not Available,0.59615734,0.40384271,,,"2014, 2015, 2016"
68,301 Centre St.,Supermarket/Grocery Store,Supermarket/Grocery,205.2,16.8,55701.3046875,1408.79428253582,Yes,0075 Jamaica Plain,46685,76,,2005,782.9,9579591.4,20.71114919,,,02130,Not Available,0.65582755,0.34417247,,,2016
69,545 Freeport Street,Supermarket/Grocery Store,Supermarket/Grocery,194.8,15.5,51153.8254394531,1059.74605332971,Yes,0018 Dorchester,61548,88,,2005,952.2,11987838.6,103.316111,,,02122,Not Available,0.60308567,0.39691428,,,"2014, 2015, 2016"
70,800 Boylston Street,Office,"Office, Parking",112,9.3,22762.2292480469,606.051623481606,Yes,Prudential Tower,1518646,60,"2010, 2008",1965,14189.7,170020461.8,13.4054941,,,02199,0401037100,0.574319,0.02771946,40%,,"2014, 2015, 2016"
71,111 Huntington Ave,Office,Office,75.5,6.6,589506.720214844,6176.64912359354,Yes,111 Huntington Ave,1034179,77,"2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",2001,6806.5,78114943.5,13.85417805,,,02199,0401037500,0.68482775,0.00350785,31%,,"2014, 2015, 2016"
72,101 Huntington Ave,Office,"Office, Parking",75.3,6.1,28418.2121582031,674.308305057847,Yes,101 Huntington Ave,585345,87,"2015, 2014, 2012, 2011, 2010, 2009, 2008",1972,3545.9,44068988.8,9.50499278,,,02199,0401037101,0.49661696,,49%,,"2014, 2015, 2016"
73,370 Western Ave,Supermarket/Grocery Store,Supermarket/Grocery,219.8,18.6,62112.662109375,1063.14143605166,Yes,07572-Brighton Mills,58240,59,,1999,1086,12801950.2,19.79739011,,,02135,Not Available,0.7269947,0.27300529,,,"2014, 2015, 2016"
74,33 Kilarnock Street,Supermarket/Grocery Store,Supermarket/Grocery,413,31.7,30238.1057128906,805.852915319239,Yes,07576-Fenway,28913,6,,1999,917,11939854.5,95.1475115,,,02215,Not Available,0.54293411,0.45706589,,,2016
75,75 Spring Street,Supermarket/Grocery Store,Supermarket/Grocery,287.8,22.8,57150.9276123047,1190.88842218475,Yes,07577-West Roxbury,54846,37,,1999,1251.5,15783567.5,14.58629617,,,02132,Not Available,0.59989398,0.40010602,,,"2014, 2015, 2016"
76,1377 Hyde Park Avenue,Supermarket/Grocery Store,Supermarket/Grocery,274.8,21.4,55755.0087890625,1080.96683448405,Yes,07579-Hyde Park,53642,52,,1999,1148.9,14740565.5,7.6246225,,,02136,Not Available,0.56899213,0.43100788,,,"2014, 2016"
77,246 Border Street,Supermarket/Grocery Store,Supermarket/Grocery,265.2,22.4,51134.4721679688,970.493120802748,Yes,07508-East Boston,49564,41,,1997,1108,13145490.2,14.02227423,,,02128,1260716,0.71449521,0.28550478,,,2016
78,45 Morrissey Blvd,Supermarket/Grocery Store,Supermarket/Grocery,247.1,21,60866.1140136719,1048.09201336647,Yes,07587-Morrisey Blvd,61555,37,,1999,1290.4,15209357.6,28.1049468,,,02124,Not Available,0.72715483,0.27284518,,,"2014, 2015, 2016"
79,1065 Commonwealth Ave,Supermarket/Grocery Store,Supermarket/Grocery,299.6,25.3,64473.9548339844,1044.87574948517,Yes,07588-Allston,64485,27,,1999,1632.3,19318937.1,16.84112584,,,02215,2100475000,0.71913569,0.28086432,,,"2014, 2015, 2016"
80,53 Huntington Ave,Supermarket/Grocery Store,Supermarket/Grocery,295.1,24,52516.9216308594,1103.60859274347,Yes,07602-Prudential New,59527,37,,2003,1426.9,17566979.5,0,,,02199,0401037400,0.64428723,0.3557128,,,"2014, 2015, 2016"
81,4 River Street,Supermarket/Grocery Store,Supermarket/Grocery,289.7,24.4,46920.2465820312,1039.32546327211,Yes,07604-Dorchester Burger,44191,19,,2003,1078.7,12803888.4,20.86397683,,,02122,Not Available,0.71363385,0.28636615,,,2016
82,53 State Street,Office,"Bank Branch, Convenience Store, Fitness Center/Gym, Office, Parking, Restaurant",58.2,5.3,41836.115234375,877.640218215732,Yes,53 State Street,1321219,88,"2015, 2014, 2013, 2010, 2009, 2008",1985,7009.9,76937527.3,10.20292624,,,02109,0303870000,0.81737544,0.0068478,18%,"Due to MACH uploads, cost for energy meters are not loaded.

Both Au Bon Pain and Cosi restaurants are sub-metered for electric use.  Cosi has their own Natural Gas meter.  

Occasional ""water/sewer"" and ""inspection"" fees added to water meter  95999005  t","2014, 2015, 2016"
83,855 Boylston,Office,"Office, Parking, Retail Store",63.4,6.1,13500.0969238281,524.491543214031,Yes,855 Boylston Street-Gateway Longwood,155775,80,"2015, 2012",1985,955.4,9875010.4,8.18038838,,,02116,03134-000,1,,,,"2014, 2015, 2016"
84,75 Arlington Street,Office,"Office, Other, Restaurant",47.3,3.7,26471.1115722656,753.524325073187,Yes,75 Arlington Street,269327,98,,1913,995.8,12745275.6,9.78438849,,,02116,0501151000,0.57339261,0.42660742,,,"2014, 2015, 2016"
85,255 State Street,Office,Office,,,20660.7927246094,570.145400293073,Yes,255 State Street Building,202022,,,1918,,,26.82282128,,,02109,Not Available,,,,,"2015, 2016"
86,2 Seaport Lane,Office,"Office, Social/Meeting Hall",63,6.1,34636.359375,910.535472098134,Yes,World Trade Center East-Boston,486760,76,"2009, 2008",2000,2967.4,30672348.6,15.26440135,,,02210,0602679035,0.99999998,,,,"2014, 2015, 2016"
87,300 Congress Street,Office,"Museum, Office",72.1,6.4,36736.951171875,1051.47913824528,Yes,Boston Children's Museum,173474,,,1880,1111.9,12515201.2,19.55912702,,,02110,Not Available,0.81896853,0.18103147,,,"2014, 2016"
