PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_ADDRESS,MAIL CS,MAIL_ZIPCODE,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,Berdo_Address,ZIP,EUI
0501617000_,nan,0501617000_,33,BEACON,ST,nan,02108_,902,E,N,CITY OF BOSTON, ,33 BEACON,BOSTON MA,02108_,3333300,4594700,7928000,0,3080,1899,1988,22269,18000,4.5,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33 Beacon St,2108,52.9
0304721012_,0304721000_,0304721000_,333,WASHINGTON,ST,1,02108_,450,CC,N,RADER WARREN TS,C/O WRREN RADER TS,333 WASHINGTON ST #1,BOSTON MA,02108_,0,64000,64000,162368,684,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,333 Washington Street,2108,104.2
0304630010_,nan,0304630010_,350,WASHINGTON,ST,nan,02110_,322,C,N,TR 350 WASHINGTON CORP,C/O INVESCO REAL ESTATE,3 GALLERIA TOWER STE 300,DALLAS TX,75240_,26939400,38045100,64984500,164865677,40813,1965,2014,156359,116872,3,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350 Washington Street,2108,85.5
0501607000_,0501607000_,0501607000_,37,BEACON,ST,nan,02108_,995,CM,N,THIRTY 7 BEACON ST CONDO TR, ,37 BEACON,BOSTON MA,02108_,0,0,0,0,9836,1999,1999,0,0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,MR,36,0,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37 Beacon Street,2108,32.9
0302855000_,nan,0302855000_,40,COURT,ST,nan,02108_,346,C,N,FORTY COURT BOSTON,C/O BRUCE GORHAM/ LINCOLN PR,53 STATE ST 7TH FL,BOSTON MA,02109_,9029500,18202500,27232000,69087584,10946,1914,2010,117064,107216,12,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40 Court Street,2108,84.6
0304705002_,0304705000_,0304705000_,45,PROVINCE,ST,2N,02108_,102,CD,N,RUCA HOMES LLC,C/O RUCA HOMES LLC,901 BRICKELL KEY BLVD  APT#2,MIAMI   FL,33131_,0,1454663,1454663,1540488,1615,2007,nan,1615,1615,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,1,Y,T,4,2,1,0,L,nan,nan,O,L,F,C,0,E,E,A,45 Province Street,2108,130
0302856000_,nan,0302856000_,45,SCHOOL,ST,nan,02108_,903,E,N,BOSTON REDEVELOPMENT AUTH, ,45 SCHOOL,BOSTON MA,02108_,7977900,17261100,25239000,0,26481,1899,2005,97230,83340,6,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45 School Street ,2108,78.6
1811008000_,nan,1811008000_,46,BEACON,ST,nan,02136_,104,R2,Y,MCCABE PATRICK, ,46 BEACON ST,HYDE PARK MA,02136_,184100,312900,497000,526323,15176,1899,1989,6056,3622,2.5,R,CV,M,W,11,6,2,0,S,N,nan,2,S,N,nan,W,N,3,F,A,A,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46 Beacon St,2108,46.1
0303478002_,0303478000_,0303478000_,100,FULTON,ST,1A,02109_,358,CC,N,MARKS RICHARD,C/O RICHARD MARKS,87 CRAFTLAND RD,CHESTNUT HILL MA,02467_,0,391000,391000,991967,2057,0,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 Fulton Street,2109,29.9
0303474000_,0303474000_,0303474000_,120,FULTON,ST,nan,02109_,995,CM,N,ONE 20 FULTON ST CONDO TR, ,120 FULTON,BOSTON MA,02109_,0,0,0,0,11774,1999,1999,0,0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,RM,27,11,0,B,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120 Fulton St,2109,63.8
0303551000_,nan,0303551000_,145,COMMERCIAL,ST,nan,02109_,907,EA,N,AUSONIA HOMES ASSOC MASS LPS, ,145 COMMERCIAL,BOSTON MA,02109_,10193200,29574300,39767500,0,45988,1977,2010,160616,146815,5,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,145 Commercial St,2109,59.5
0303751000_,nan,0303751000_,148,STATE,ST,nan,02109_,345,C,N,ONE 48 STATE STREET LPS,TAURUS MGMT/SHEILA MEADER,22 BATTERYMARCH STREET,BOSTON MA,02109_,5451800,13623700,19075500,48394544,5658,1899,2010,67896,62238,11,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,148 State Street,2109,86.3
1602599000_,nan,1602599000_,15,WATER,ST,nan,02122_,104,R2,Y,SULLIVAN JEAN M, ,15 WATER ST,DORCHESTER MA,02122_,108900,262300,371200,393100,2138,1880,0,2110,1480,2,R,TF,G,M,10,4,2,0,M,M,nan,2,M,M,nan,W,N,0,A,A,A,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15 Water Street,2109,86.1
0303306010_,nan,0303306010_,150,NORTH,ST,nan,02109_,378,C,N,ONE-50  NORTH STREET  LLC,C/O  150  NORTH STREET  LLC,39 NORTH BENNET  ST ,BOSTON   MA,02113_,1907517,3987487,5895004,14955625,9450,1932,2013,25330,19454,3,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150 North Street,2109,77.5
0303940000_,nan,0303940000_,177,MILK,ST,nan,02109_,346,C,N,BEAL BRUCE A, ,177 MILK,BOSTON MA,02110_,9793500,7990500,17784000,45118008,12166,1899,2016,87200,76300,7,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,177 Milk Street,2109,85.8
0303790000_,0303790000_,0303790000_,200,STATE,ST,nan,02109_,995,CM,N,TWO HUNDRED STATE CONDO TR,C/O 200 STATE ST PROPERTY LL,200 STATE ST,BOSTON MA,02109_,0,0,0,0,71748,1984,2002,0,0,16,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HR,0,2,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200 State Street,2109,80.2
0303694000_,nan,0303694000_,28,STATE,ST,nan,02109_,348,C,N,TWENTY-8 STATE STREET LLC,C/O ROCKERFELLER GRP-INT,1221 AVE OF AMERICAS-TAX DEP,NEW YORK  NY,10020_,57793100,185669400,243462500,617664363,33091,1968,2010,699535,682385,39,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28 State Street,2109,79.7
0303020000_,nan,0303020000_,296,STATE,ST,nan,02109_,300,C,N,SUNSTONE WHARF LLC,C/O SUN STONE HOTEL INVESTOR,120 VANTIS SUITE 350,ALISO VIEJO CA,92656_,56738800,95376700,152115500,385942024,107893,1981,2010,277432,260800,8,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,296 State Street,2109,82.5
0303543000_,0303543000_,0303543000_,300,COMMERCIAL,ST,nan,02109_,995,CM,N,MARINER  CONDO  ASSOCIATION,C/O PAMELA P WOODLOCK,300 COMMERCIAL ST #310,BOSTON MA,02109_,0,0,0,0,19074,1999,1999,0,0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,MR,105,0,0,B,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,300 Commercial St,2109,38.1
0304642002_,0304642000_,0304642000_,31,MILK,ST,1,02110_,356,CC,N,THIRTY 1 RAM LLC,C/O PATEL YOGENDRA  ,2 REGENCY RIDGE,ANDOVER MA,01810_,0,2856500,2856500,7271941,9199,0,nan,0,0,11,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31 Milk Street,2109,85.1
0303840000_,nan,0303840000_,33,BROAD,ST,nan,02109_,345,C,N,TERRA FIRMA-33 BROAD LLC,C/O LINCOLN PROPERTY COMPANY,53  STATE  ST  7TH  FL,BOSTON        MA,02109_,3922500,7386500,11309000,28690933,3680,1920,2010,44160,40480,11,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33 Broad Street,2109,120.3
0303038279_,0303038200_,0303038200_,343,COMMERCIAL,ST,101,02109_,102,CD,Y,MARY ROSE  DUPUIS  REVOCABLE,C/O  PETER  A  DUPUIS  JR,343  COMMERCIAL  ST  #101,BOSTON     MA,02109_,0,1649464,1649464,1746782,2552,1855,2011,2552,2552,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,Y,A,7,3,2,1,L,L,L,O,L,P,C,0,N,E,A,343 Commercial Street,2109,12.6
0303039012_,0303039000_,0303039000_,357,COMMERCIAL,ST,1,02109_,102,CD,N,IUDICIANI FRANCO, ,357 COMMERCIAL ST #1,BOSTON MA,02109_,0,515478,515478,545891,879,1987,0,879,879,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,N,F,4,1,1,0,S,nan,nan,O,S,P,C,0,N,A,A,357 Commercial Street,2109,49
0303040002_,0303040000_,0303040000_,40,BATTERY,ST,102,02109_,102,CD,Y,MILANO-PICARDI MICHAEL,C/O MICHAEL MILANO-PICARDI,40 BATTERY ST  #102,BOSTON      MA,02109_,0,1775174,1775174,1879909,1247,1992,2006,1247,1247,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,Y,T,5,2,2,0,L,M,nan,O,L,P,C,0,N,E,E,40 & 50 Battery Street,2109,1164.4
0303040076_,0303040000_,0303040000_,50,BATTERY,ST,nan,02109_,974,E,N,BIRMDEN ASSOCIATES, ,"50 BATTERY ST, #FDU",BOSTON         MA,02109_,0,724710,724710,0,2233,1992,2016,2233,2233,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,Y,T,1,1,1,0,M,nan,nan,P,M,F,C,1,N,A,E,50 Battery St,2109,238.6
0303910000_,nan,0303910000_,50,MILK,ST,nan,02109_,347,C,N,PONTE GADEA BOSTON LLC,C/O ARNOLD CASTRILLO ,270 BISCAYNE BLVD WY STE 201,MIAMI  FL,33131_,19741300,80789700,100531000,255047147,18575,1982,2015,356069,282200,21,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50 Milk Street,2109,61
0303685000_,nan,0303685000_,60,STATE,ST,nan,02109_,348,C,N,ANBECA 60 LLC,OXFORD I ASSET MGMT USA INC,125 SUMMER ST,BOSTON MA,02109_,89515200,310200300,399715500,1014078224,56331,1977,2008,1010600,987600,39,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,60 State Street,2109,79.2
0303860000_,nan,0303860000_,75,STATE,ST,nan,02109_,348,C,N,BROOKFIELD PROP 75 STATE CO,C/O DIFU XIANG,250 VESEY ST 15TH FL,NEW YORK    NY,10281_,93651200,291995800,385647000,978386439,62185,1987,2009,1191535,1163735,31,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75 State Street,2109,61.7
0303604000_,0303604000_,0303604000_,99,FULTON,ST,nan,02109_,995,CM,N,NINTY 9 FULTON ST CONDO TR, ,99 FULTON,BOSTON MA,02109_,0,0,0,0,6936,1999,1999,0,0,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,MR,36,0,0,B,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99 Fulton Street,2109,59
0301937000_,nan,0301937000_,600,COMMERCIAL,ST,nan,02109_,336,C,N,SMITH HALLAM J TS,C/O ROBIE PROPERTIES,175 ANDOVER ST,DANVERS MA,01923_,15563900,10426600,25990500,65962899,70492,1925,2016,206277,206277,3,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,600 Commercial St.,02109-1015,3.4
0200317000_,0200317000_,0200317000_,10,SUMMER,ST,nan,02129_,995,CM,N,TEN SUMMER STREET,C/O ALBERT J SANTORO **,10 SUMMER ST,CHARLESTOWN    MA,02129_,0,0,0,0,2040,1875,1999,0,0,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,FS,2,0,0,F,G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10 Summer St,2110,222.3
0304410000_,nan,0304410000_,100,FEDERAL,ST,nan,02110_,348,C,N,BP FEDERAL STREET LLC,C/O BOSTON PROPERTIES,800 BOYLSTON ST STE 1900,BOSTON MA,02199_,159919400,375080600,535000000,1357295000,82545,1971,2010,1645931,1592556,37,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 Federal St.,2110,74.9
0200480000_,nan,0200480000_,100,HIGH,ST,nan,02129_,101,R1,Y,MCINTYRE DANIEL J,C/O DANIEL J MCINTYRE ,100 HIGH ST,CHARLESTOWN MA,02129_,330500,815200,1145700,1213296,2592,1799,2014,2708,2610,3,R,SD,H,B,8,3,2,0,M,M,nan,1,M,nan,nan,W,N,7,E,G,G,N,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 High Street,2110,62.6
0304220000_,nan,0304220000_,100,SUMMER,ST,nan,02110_,348,C,N,ONE HUNDRED SUMMER ST LLC,C/O EQUITY OFFICE PROPERTIES,PO BOX A3879,CHICAGO    IL,60690_,52549900,345262100,397812000,1009249044,61477,1980,2010,1344121,1303391,32,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100 Summer Street,2110,75.4
